"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"DYNNIQ UK LTD","Hazelwood House Lime Tree Way, Chineham Business Park, Basingstoke, Hampshire, RG24 8WZ","01490333","27900","9.7","0","58.2","18.2","8.7","4.8","75","25","95.6","4.4","85.3","14.7","82.6","17.4","https://www.dynniqmobility.co.uk/wp-content/uploads/sites/4/2021/02/Gender-Pay-Gap-Report-2020-v2.pdf","Tony O'Brien (Managing Director)","250 to 499","DYNNIQ UK LTD","False","06/10/2021 00:00:00","05/03/2021 15:49:57"
"E-ACT","The Orangery, 28 Headlands, Kettering, England, NN15 7HP","06526376","85590,
88990","16.7","28.2","","","0.0","0.0","16.3","83.7","28.5","71.5","32.2","67.8","36.3","63.7","","","Not Provided","E-ACT","False","06/10/2021 00:00:00","12/02/2021 15:56:53"
"East Cheshire Nhs Trust","Macclesfield District Hospital, Victoria Road, Macclesfield, Cheshire, United Kingdom, SK10 3BL","","1,
86210","31.1","9.2","30.2","27.3","6.2","0.3","13.7","86.3","14.8","85.2","12.9","87.1","24.3","75.7","https://www.eastcheshire.nhs.uk/application/files/7616/1415/8606/gender_pay_gap_paper_2020_final_approved.pdf","","1000 to 4999","East Cheshire Nhs Trust","False","06/10/2021 00:00:00","01/03/2021 09:03:00"
"East Hertfordshire Council","Wallfields, Pegs Lane, Hertford, Hertfordshire, United Kingdom, SG13 8EQ","","1,
84110","15.0","17.0","","","0.0","0.0","17.0","83.0","18.0","82.0","38.0","62.0","44.0","56.0","https://www.eastherts.gov.uk/about-east-herts-0/pay-policy-and-gender-pay-gap-report","","250 to 499","East Hertfordshire Council","False","06/10/2021 00:00:00","05/03/2021 11:11:18"
"East Midlands Ambulance Service Education & Development Centre","1 Horizon Place, Mellors Way,, Nottingham, NG8 6PY","","1,
86210","0.7","0.2","","","0.0","0.0","46.3","53.7","52.2","47.8","46.7","53.3","57.7","42.3","http://www.emas.nhs.uk","","1000 to 4999","East Midlands Ambulance Service Education & Development Centre","False","06/10/2021 00:00:00","26/01/2021 14:25:12"
"EAST MIDLANDS EDUCATION TRUST","The West Bridgford School Loughborough Road, West Bridgford, Nottingham, NG2 7FA","07530373","85200,
85310","17.1","36.1","","","0.0","0.0","17.2","82.8","27.5","72.5","30.9","69.1","36.5","63.5","https://www.emet.eu.com/page/?title=Trust+Information&pid=24","","1000 to 4999","EAST MIDLANDS EDUCATION TRUST","False","06/10/2021 00:00:00","01/03/2021 11:17:08"
"EAST OF ENGLAND CO-OPERATIVE SOCIETY LIMITED","Wherstead Park, The Street, Wherstead, Ipswich, Suffolk, United Kingdom, IP9 2BJ","IP01099R","","18.7","3.1","","","0.0","0.0","22.8","77.2","33.0","67.0","32.8","67.2","48.8","51.2","https://www.eastofengland.coop/about-us/responsible-business/our-colleagues/gender-pay-reporting","John Hawkins (Chair – Remuneration & Search Committee)","1000 to 4999","EAST OF ENGLAND CO-OPERATIVE SOCIETY LIMITED","False","06/10/2021 00:00:00","04/02/2021 12:35:15"
"East Staffordshire Borough Council","Town Hall, King Edward Place, Burton on Trent, Staffordshire, DE14 2EB","","1,
84110","	-4.9","	-12.6","","","0.0","0.0","59.2","40.8","65.3","34.7","29.3","70.7","45.3","54.7","https://www.eaststaffsbc.gov.uk/sites/default/files/docs/opendata/Gender-Pay-Gap-Report.pdf","","250 to 499","East Staffordshire Borough Council","False","06/10/2021 00:00:00","29/10/2020 17:15:35"
"East Sussex Council","County Hall, St. Annes Crescent, Lewes, East Sussex, United Kingdom, BN7 1UE","","1,
84110","8.4","10.7","68.9","17.4","1.0","0.6","25.0","75.0","20.0","80.0","25.0","75.0","31.0","69.0","https://www.eastsussex.gov.uk/jobs/benefits/pay/","","1000 to 4999","East Sussex Council","False","06/10/2021 00:00:00","01/03/2021 09:55:31"
"EASTBOURNE COLLEGE (INCORPORATED)","Marlborough House, Old Wish Road, Eastbourne, Sussex, BN21 4JY","00115408","85100,
85200,
85310","18.8","23.5","","","0.0","0.0","22.7","77.3","54.0","46.0","41.9","58.1","63.5","36.5","https://www.eastbourne-college.co.uk/wp-content/uploads/2021/03/gender-pay-report-feb-2021.pdf","Tom Lawson (Headteacher)","250 to 499","EASTBOURNE COLLEGE (INCORPORATED)","False","06/10/2021 00:00:00","04/03/2021 14:45:37"
"EASTERN AIRWAYS (UK) LIMITED","C/O Bissell & Brown Ltd Charter House, 56 High Street, Sutton Coldfield, West Midlands, United Kingdom, B72 1UJ","03468489","51101","49.0","54.0","","","0.0","0.0","13.0","87.0","56.0","44.0","81.0","19.0","100.0","0.0","https://www.easternairways.com/","Sue Parkinson (Head of HR and Payroll)","250 to 499","EASTERN AIRWAYS (UK) LIMITED","False","06/10/2021 00:00:00","16/02/2021 13:31:01"
"EBOR ACADEMY TRUST","Ebor Business And Training Centre The Leyes, Osbaldwick, York, England, YO10 3PR","08806335","85200","19.80","20.00","","","0.00","0.00","7.80","92.20","8.10","91.90","5.00","95.00","21.80","78.20","","","1000 to 4999","EBOR ACADEMY TRUST","False","06/10/2021 00:00:00","10/08/2020 11:57:26"
"ECONOMIST NEWSPAPER LIMITED(THE)","The Adelphi, 1 - 11 John Adam Street, London, England, WC2N 6HT","00236383","58110,
58130,
58142,
58190","22.1","19.3","29.0","25.6","23.5","16.2","44.0","56.0","46.4","53.6","51.4","48.6","69.2","30.8","https://www.economistgroup.com/pdfs/the_economist_group_gpg_report_2020_published_2021.pdf","Gnosoulla Tsioupra-Lewis (Chief Talent Officer)","500 to 999","ECONOMIST NEWSPAPER LIMITED(THE)","False","06/10/2021 00:00:00","08/03/2021 10:24:52"
"EDEN LEARNING TRUST","Ferryhill Business Enterprise College, Merrington Road, Ferryhill, County Durham, United Kingdom, DL17 8RW","10980753","85100,
85200,
85310,
85600","29.5","66.1","","","0","0","12.8","87.2","20.5","79.5","38.5","61.5","33.3","66.7","","","250 to 499","EDEN LEARNING TRUST","False","06/10/2021 00:00:00","23/02/2021 11:49:26"
"EDF ENERGY CUSTOMERS LIMITED","90 Whitfield Street, London, England, W1T 4EZ","02228297","35130,
35220","	-1.0","	-11.0","33.9","38.6","94.8","78.3","83.0","17.0","92.9","7.1","82.4","17.6","78.8","21.2","https://www.edfenergy.com/sites/default/files/gender_pay_gap_2020_report.pdf","Philippe Commaret (Managing Director)","500 to 999","EDF ENERGY CUSTOMERS LIMITED","False","06/10/2021 00:00:00","18/02/2021 14:34:51"
"EDF ENERGY LIMITED","90 Whitfield Street, London, England, W1T 4EZ","02366852","35110","26.0","32.7","49.3","46.8","92.6","94.8","38.9","61.1","38.8","61.2","64.5","35.5","72.5","27.5","https://www.edfenergy.com/sites/default/files/gender_pay_gap_2020_report.pdf","Simone Rossi (Chief Executive Officer)","5000 to 19,999","EDF ENERGY LIMITED","False","06/10/2021 00:00:00","18/02/2021 14:39:42"
"EDF ENERGY NUCLEAR GENERATION LIMITED","Barnett Way, Barnwood, Gloucester, GL4 3RS","03076445","35110","15.6","15.6","66.2","59.2","9.4","19.4","75.2","24.8","86.9","13.1","88.0","12.0","89.9","10.1","https://www.edfenergy.com/sites/default/files/gender_pay_gap_2020_report.pdf","David Tomblin (Finance Director)","5000 to 19,999","EDF ENERGY NUCLEAR GENERATION LIMITED","False","06/10/2021 00:00:00","18/02/2021 14:43:31"
"EDINBURGH LEISURE","Craiglockhart Leisure & Tennis Centre, 177 Colinton Road, Edinburgh, Scotland, EH14 1BZ","SC179259","93110,
93130","	-0.4","0.7","","","0.0","0.0","47.1","52.9","47.3","52.7","49.8","50.2","53.5","46.5","","Karen Scott (Director of People)","500 to 999","EDINBURGH LEISURE","False","06/10/2021 00:00:00","02/03/2021 14:49:54"
"EDRINGTON DISTILLERS LIMITED","100 Queen Street, Glasgow, Scotland, G1 3DN","SC014472","11010","11.2","12.1","75.7","1.1","25","22.8","45","55","59.1","40.9","61.9","38.1","66.9","33.1","https://www.edrington.com/sites/g/files/jrulke266/files/2021-02/Edrington%20Gender%20Pay%20Report%202020_0.pdf","Veronika Gunn-Boesch (Group HR Director)","500 to 999","EDRINGTON DISTILLERS LIMITED","False","06/10/2021 00:00:00","26/02/2021 12:50:49"
"EJ PARKER TECHNICAL SERVICES (CENTRAL) LTD","24-28 Moor Street, Burton Upon Trent, Staffordshire, DE14 3SX","01270585","43210,
43220,
43999","34.7","35.8","39.2","25.0","29.3","5.9","74.3","25.7","97.3","2.7","100.0","0.0","98.7","1.3","","Liz Staley (Group HR Manager)","250 to 499","EJ PARKER TECHNICAL SERVICES (CENTRAL) LTD","False","06/10/2021 00:00:00","10/03/2021 14:41:09"
"ELLE R LEISURE LIMITED","Lower Basement Office Eastgate, 2 Castle Street, Manchester, United Kingdom, M3 4LZ","00890260","56101,
56302","	-0.5","0.0","","","0.0","0.0","43.7","56.3","51.2","48.8","57.1","42.9","66.7","33.3","","Beth Adams (Finance Director)","250 to 499","ELLE R LEISURE LIMITED","False","06/10/2021 00:00:00","24/02/2021 11:21:37"
"ELYSIUM HEALTHCARE (ACORN CARE) LIMITED","2 Imperial Place, Maxwell Road, Borehamwood, Hertfordshire, United Kingdom, WD6 1JN","03147293","86220","13.6","0.0","	-46.2","86.7","63.8","89.1","21.7","78.3","54.3","45.7","31.4","68.6","42.3","57.7","https://www.elysiumhealthcare.co.uk/wp-content/uploads/2021/03/Gender-Pay-Gap-Report-2019_2020.pdf","Joy Chamberlain (Chief Executive Officer)","250 to 499","ELYSIUM HEALTHCARE (ACORN CARE) LIMITED","False","06/10/2021 00:00:00","09/03/2021 12:16:49"
"ELYSIUM HEALTHCARE (HEALTHLINC) LIMITED","2 Imperial Place, Maxwell Road, Borehamwood, Hertfordshire, United Kingdom, WD6 1JN","01440442","86220","5.4","3.0","	-212.3","0.0","94.9","77.9","25.6","74.4","26.6","73.4","35.4","64.6","37.5","62.5","https://www.elysiumhealthcare.co.uk/wp-content/uploads/2021/03/Gender-Pay-Gap-Report-2019_2020.pdf","Joy Chamberlain (Chief Executive Officer)","250 to 499","ELYSIUM HEALTHCARE (HEALTHLINC) LIMITED","False","06/10/2021 00:00:00","09/03/2021 12:06:15"
"ELYSIUM HEALTHCARE LIMITED","2 Imperial Place, Imperial Place, Maxwell Road, Borehamwood, England, WD6 1JN","04063391","86101","18.6","0.2","23.4","33.3","49.0","58.0","31.8","68.2","32.3","67.7","31.0","69.0","35.6","64.4","https://www.elysiumhealthcare.co.uk/wp-content/uploads/2021/03/Gender-Pay-Gap-Report-2019_2020.pdf","Joy Chamberlain (Chief Executive Officer)","1000 to 4999","ELYSIUM HEALTHCARE LIMITED","False","06/10/2021 00:00:00","09/03/2021 11:07:35"
"ELYSIUM HEALTHCARE NO. 2 LIMITED","2 Imperial Place, Imperial Place, Maxwell Road, Borehamwood, England, WD6 1JN","06244878","86101","1.5","0.0","	-62.9","0.0","58.3","52.8","37.6","62.4","39.6","60.4","41.7","58.3","33.7","66.3","https://www.elysiumhealthcare.co.uk/wp-content/uploads/2021/03/Gender-Pay-Gap-Report-2019_2020.pdf","Joy Chamberlain (Chief Executive Officer)","1000 to 4999","ELYSIUM HEALTHCARE NO. 2 LIMITED","False","06/10/2021 00:00:00","09/03/2021 11:57:51"
"ELYSIUM HEALTHCARE NO. 3 LIMITED","2 Imperial Place, Maxwell Road, Borehamwood, England, WD6 1JN","02989725","86900","1.9","0.0","	-250.0","	-200.0","24.6","32.1","50.0","50.0","38.0","62.0","48.1","51.9","24.1","75.9","https://www.elysiumhealthcare.co.uk/wp-content/uploads/2021/03/Gender-Pay-Gap-Report-2019_2020.pdf","Joy Chamberlain (Chief Executive Officer)","250 to 499","ELYSIUM HEALTHCARE NO. 3 LIMITED","False","06/10/2021 00:00:00","09/03/2021 12:25:26"
"ELYSIUM NEUROLOGICAL SERVICES (ADDERLEY) LIMITED","2 Imperial Place, Maxwell Road, Borehamwood, Hertfordshire, England, WD6 1JN","09595914","87100","12.0","12.3","	-142.0","33.3","80.5","82.1","13.3","86.7","10.0","90.0","23.0","77.0","21.3","78.7","https://www.elysiumhealthcare.co.uk/wp-content/uploads/2021/03/Gender-Pay-Gap-Report-2019_2020.pdf","Joy Chamberlain (Chief Executive Officer)","250 to 499","ELYSIUM NEUROLOGICAL SERVICES (ADDERLEY) LIMITED","False","06/10/2021 00:00:00","09/03/2021 12:33:34"
"EMH CARE AND SUPPORT LIMITED","02488821 Memorial House, Whitwick Business Park, Stenson Road, Coalville, Leicestershire, LE67 4JP","02488821","87200,
88100","	-0.9","0.0","","","0.0","0.0","24.8","75.2","29.5","70.5","15.0","85.0","18.8","81.2","https://www.emhgroup.org.uk/media/4372/gender-and-ethnicity-pay-gap-report-2020.pdf","Joanne Tilley (Executive Director - Corporate Services)","500 to 999","EMH CARE AND SUPPORT LIMITED","False","06/10/2021 00:00:00","05/01/2021 11:08:24"
"EMH HOUSING & REGENERATION LIMITED","Memorial House, Stenson Road, Coalville, LE67 4JP","IP032198","","3.0","9.6","30.9","0.0","10.2","21.8","42.9","57.1","50.0","50.0","61.5","38.5","63.3","36.7","https://www.emhgroup.org.uk/media/4372/gender-and-ethnicity-pay-gap-report-2020.pdf","Joanne Tilley (Executive Director - Corporate Services)","250 to 499","EMH HOUSING & REGENERATION LIMITED","False","06/10/2021 00:00:00","05/01/2021 11:14:15"
"EMIRATES AIRLINE LIMITED","Gloucester Park, 95 Cromwell Road, London, SW7 4DL","05761094","99999","11.4","6.7","17.3","15.7","97.7","97.4","42.4","57.6","41.2","58.8","37","63","58.8","41.2","","Nelun Barrow (Senior HR Business Partner)","500 to 999","EMIRATES AIRLINE LIMITED","False","06/10/2021 00:00:00","28/02/2021 18:18:21"
"EMPOWER LEARNING ACADEMY TRUST","Hall Mead School, Marlborough Gardens, Upminster, Essex, RM14 1SF","07702119","85310","24.0","33.0","","","0.0","0.0","12.0","88.0","84.0","16.0","27.0","73.0","37.0","63.0","","","500 to 999","EMPOWER LEARNING ACADEMY TRUST","False","06/10/2021 00:00:00","03/02/2021 15:42:53"
"ENGAGE, ENRICH, EXCEL ACADEMIES","The Cambridge Primary School Queens Avenue, Wellesley, Aldershot, United Kingdom, GU11 4AA","09279884","85200","16.4","16.9","","","0.0","0.0","5.1","94.9","7.7","92.3","11.5","88.5","11.7","88.3","https://www.eeea.co.uk/","Melanie Bark (Chief Operating Officer)","500 to 999","ENGAGE, ENRICH, EXCEL ACADEMIES","False","06/10/2021 00:00:00","13/03/2021 16:23:53"
"ENTIER LIMITED","The Olive House Endeavour Drive, Arnhall Business Park, Westhill, Aberdeenshire, Scotland, AB32 6UF","SC342922","56210","20.5","15.6","35.1","18.8","16.4","10.9","53.8","46.2","67.8","32.2","82.2","17.8","86.8","13.2","","Elaine Ramage (HR Director)","250 to 499","ENTIER LIMITED","False","06/10/2021 00:00:00","08/03/2021 09:01:56"
"EPI GENESYS LIMITED","The Innovation Centre, 217 Portobello, Sheffield, England, S1 4DP","06388971","62012,
62090","12.70","16.20","","","0.00","0.00","66.70","33.30","33.30","66.70","100.00","0.00","66.70","33.30","https://www.epigenesys.org.uk/gender-pay-gap","Christopher Murray (Managing Director)","Less than 250","EPI GENESYS LIMITED","False","06/10/2021 00:00:00","26/04/2020 20:47:00"
"EPSON TELFORD LIMITED","Hortonwood 30, Telford, Shropshire, TF1 7YD","02090005","26200","10.1","3.2","16.0","0.0","97.3","99.0","64.6","35.4","64.6","35.4","61.5","38.5","80.0","20.0","","Kevin Browne (Managing Director)","250 to 499","EPSON TELFORD LIMITED","False","06/10/2021 00:00:00","01/03/2021 10:24:59"
"ERNEST DOE & SONS LIMITED","Ulting, Nr Maldon, Essex, CM9 6QH","00431173","45190,
45200,
46140,
46610","22.8","25.6","96.1","16.7","96.0","17.0","78.0","22.0","93.2","6.8","87.5","12.5","100.0","0.0","","Lisa Blinkhorne (HR Manager)","500 to 999","ERNEST DOE & SONS LIMITED","False","06/10/2021 00:00:00","02/03/2021 12:53:58"
"ERNST & YOUNG SERVICES LIMITED","1 More London Place, London, SE1 2AF","02812206","82990","15.3","10.4","41.4","27.5","62.0","66.8","51.0","49.0","46.7","53.3","51.4","48.6","61.8","38.2","https://assets.ey.com/content/dam/ey-sites/ey-com/en_uk/about-us/annual-results/ey-2020-pay-gap-report.pdf","Justine Campbell (EY UK&I Managing Partner for Talent)","5000 to 19,999","ERNST & YOUNG SERVICES LIMITED","False","06/10/2021 00:00:00","08/01/2021 13:17:00"
"ESSENCE GLOBAL LIMITED","Sea Containers, 18 Upper Ground, London, United Kingdom, SE1 9GL","05467689","73110","22.4","21.4","35.2","12.1","73.2","69.5","43.0","57.0","44.0","56.0","54.0","46.0","64.0","36.0","https://www.essenceglobal.com/article/essence-releases-uk-2019-2020-gender-pay-gap-figures","Tim Irwin (CEO (EMEA))","500 to 999","ESSENCE GLOBAL LIMITED","False","06/10/2021 00:00:00","11/03/2021 17:51:41"
"Estuaries Multi Academy Trust","28 Old Exeter Road, Newton Abbot, Devon, United Kingdom, TQ12 2NF","","","14.0","28.0","","","0.0","0.0","11.1","88.9","23.4","76.6","36.5","63.5","26.6","73.4","https://www.estuaries.co.uk/governance/","","250 to 499","Estuaries Multi Academy Trust","False","06/10/2021 00:00:00","19/01/2021 16:07:17"
"EUROCAPS LIMITED","Crown Business Park, Dukestown, Tredegar, NP22 4EF","02878879","10890,
28990","28.0","30.0","55.0","0.0","88.0","84.0","34.0","66.0","44.0","56.0","77.0","23.0","84.0","16.0","","Kate Orme (Finance Director)","250 to 499","EUROCAPS LIMITED","False","06/10/2021 00:00:00","10/03/2021 09:58:29"
"EUROCHANGE LIMITED","Russell House, Elvicta Business Park, Crickhowell, Powys, NP8 1DF","02519424","82990","15.0","2.0","19.0","21.0","90.0","93.0","24.0","76.0","31.0","69.0","38.0","62.0","42.0","58.0","http://www.eurochange.co.uk","Charles Stewart (Foreign Exchange and Network Director)","250 to 499","EUROCHANGE LIMITED","False","06/10/2021 00:00:00","09/03/2021 08:48:48"
"EUROMONITOR INTERNATIONAL LIMITED","60-61 Britton Street, London, EC1M 5UX","01040587","58190,
73200","11.3","15.2","73.0","35.0","80.0","74.0","34.0","66.0","57.0","43.0","53.0","47.0","51.0","49.0","","Emma Blaney (Global HR Director)","250 to 499","EUROMONITOR INTERNATIONAL LIMITED","False","06/10/2021 00:00:00","01/03/2021 16:05:52"
"EVERY CHILD MATTERS ACADEMY TRUST","High View Primary Learning Centre Newsome Avenue, Wombwell, Barnsley, South Yorkshire, United Kingdom, S73 8QS","09700223","85200","	-2.4","	-0.7","","","0.0","0.0","3.1","96.9","3.1","96.9","12.5","87.5","10.8","89.2","https://www.ecmtrust.org/","","250 to 499","EVERY CHILD MATTERS ACADEMY TRUST","False","06/10/2021 00:00:00","21/08/2020 10:04:05"
"EVOLVE FACILITY SERVICES LIMITED","2 Estuary Boulevard, Estuary Commerce Park, Speke, Liverpool, Merseyside, L24 8RF","07101080","43999","9.9","18.3","75.7","0.0","43.4","26.9","71.0","29.0","83.0","17.0","96.0","4.0","89.0","11.0","","Neil O'Halloran (Managing Director)","500 to 999","EVOLVE FACILITY SERVICES LIMITED","False","06/10/2021 00:00:00","01/03/2021 13:18:19"
"EXCELCARE (HOME CARE DIVISION) LIMITED","Kalamu House, 11 Coldbath Square, London, England, EC1R 5HL","03883402","87300","	-1.0","0.0","","","0.0","1.1","18.5","81.5","17.0","83.0","17.0","83.0","18.5","81.5","https://www.excelcareholdings.com/application/files/2516/1467/3901/Excelcare_Homecare_Division_-_Gender_Pay_Gap_Report_2020.pdf","Osa Ogbeide (Head of People Operations)","Less than 250","EXCELCARE (HOME CARE DIVISION) LIMITED","False","06/10/2021 00:00:00","02/03/2021 09:20:33"
"EXPD8 LIMITED","1 Brunswick Square, Bristol, England, BS2 8PE","04601274","74909","1.8","0.0","36.6","	-6.7","56.7","67.3","22.0","78.0","21.0","79.0","14.0","86.0","16.0","84.0","","Paul Roffey (Finance Director)","1000 to 4999","EXPD8 LIMITED","False","06/10/2021 00:00:00","01/10/2020 13:11:44"
"EXTEND LEARNING ACADEMIES NETWORK","School House Bournville Primary School, Selworthy Road, Weston-Super-Mare, Somerset, United Kingdom, BS23 3ST","10896504","85100,
85200,
85600","30.8","40.5","","","0.0","0.0","3.5","96.5","5.6","94.4","6.3","93.7","18.2","81.8","https://www.extendlearning.org/","","500 to 999","EXTEND LEARNING ACADEMIES NETWORK","False","06/10/2021 00:00:00","05/02/2021 16:00:49"
"EYNSHAM PARTNERSHIP ACADEMY","Bartholomew School Witney Road, Eynsham, Witney, Oxfordshire, OX29 4AP","07939655","85310","22.8","42.2","","","0.0","0.0","13.8","86.2","17.2","82.8","20.7","79.3","24.1","75.9","https://epa-mat.org","","250 to 499","EYNSHAM PARTNERSHIP ACADEMY","False","06/10/2021 00:00:00","25/09/2020 09:07:18"
"F M CONWAY LIMITED","Conway House, Vestry Road, Sevenoaks, Kent, England, TN14 5EL","00706445","42110","17.2","22.3","69.5","76.4","35.8","7.1","74.3","25.7","94.3","5.7","90.0","10.0","93.0","7.0","https://www.fmconway.co.uk/files/library/files/Footer%20Links/GPGReport2020.pdf","Wendy Bates (Managing Director Central Services)","1000 to 4999","F M CONWAY LIMITED","False","06/10/2021 00:00:00","03/03/2021 14:45:01"
"FACCENDA FOODS LIMITED","Willow Road, Brackley, Northants, NN13 7EX","01611077","10120","10.3","5","29","12.5","19.8","13.5","57.5","42.5","70.3","29.7","68.2","31.8","81.1","18.9","https://www.avarafoods.co.uk/getmedia/e7cc083a-a6c1-439f-afdf-52cb07c9988b/AF-Gender-Pay-Report-FINAL.pdf","Andrew Brodie (People & Communications Director)","1000 to 4999","FACCENDA FOODS LIMITED","False","06/10/2021 00:00:00","10/02/2021 09:58:09"
