"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"Coventry Building Society","14905","Coventry House, Harry Weston Road, Binley, Coventry, West Midlands, CV3 2TQ","CV3 2TQ","MUT0148B","","30.1","31.3","39.2","38.5","94","95","21","79","32","68","45","55","65","35","https://www.coventrybuildingsociety.co.uk/member/sustainability/women-in-finance.html","Steve Hughes (Chief Executive Officer and Executive Director)","1000 to 4999","Coventry Building Society","False","2023/04/05 00:00:00","2022/12/21 15:13:27"
"Coventry University","15636","Coventry University, Alan Berry Building, Priory Street, Coventry, CV1 5FB","CV1 5FB","","1,
85421,
85422","12.9","8.5","63.1","7.0","2.49","2.62","28.6","71.4","47.1","52.9","50.5","49.5","55.0","45.0","","","250 to 499","Coventry University","False","2023/03/31 00:00:00","2022/11/15 10:15:52"
"COVENTRY UNIVERSITY COLLEGE LIMITED","15641","Coventry University, Priory Street, Coventry, England, CV1 5FB","CV1 5FB","07781274","85421","5.6","3.0","6.5","4.4","50.2","52.6","21.6","78.4","37.5","62.5","51.1","48.9","40.9","59.1","","","250 to 499","COVENTRY UNIVERSITY COLLEGE LIMITED","False","2023/03/31 00:00:00","2022/11/15 10:18:17"
"COVENTRY UNIVERSITY ENTERPRISES LIMITED","15643","Coventry University, Priory Street, Coventry, England, CV1 5FB","CV1 5FB","02409655","74909","9.2","-0.4","","","0","0.39","45.6","54.4","58.9","41.1","32.3","67.7","67.7","32.3","https://www.coventry.ac.uk/the-university/key-information/equality-and-diversity/gender-pay-report/#tab-286035-1","Mark Cammies (Managing Director)","250 to 499","COVENTRY UNIVERSITY ENTERPRISES LIMITED","False","2023/04/05 00:00:00","2022/11/15 16:41:52"
"CRANMER EDUCATION TRUST","18886","The Blue Coat School, Egerton Street, Oldham, Manchester, OL1 3SQ","OL1 3SQ","07687709","85200,
85310","10.3","9.8","","","0","0","18","82","37","63","29","71","33","67","","Ruth Minton (Finance Manager)","250 to 499","CRANMER EDUCATION TRUST","False","2023/04/05 00:00:00","2022/04/11 12:14:55"
"Craven College","17087","Aireville Campus, Gargrave Road, Skipton, BD23 1US","BD23 1US","","1,
85310","11.14","21.51","","","0","0","19","81","22","78","29","71","40","60","","","250 to 499","Craven College","False","2023/03/31 00:00:00","2023/01/25 16:37:31"
"Crawley Borough Council","3693","Town Hall, The Boulevard, Crawley, West Sussex, United Kingdom, RH10 1UZ","RH10 1UZ","","1,
84110","1","0","","","0","0","65.3","34.7","36.8","63.2","45.3","54.7","56.4","43.6","","","500 to 999","Crawley Borough Council","False","2023/03/31 00:00:00","2023/01/24 16:27:14"
"CREATIVE EDUCATION TRUST","3700","67-68 Long Acre, London, England, WC2E 9JD","WC2E 9JD","07617529","85200,
85310","18.69","38.45","","","0","0","14.98","85.02","21.43","78.57","36.21","63.79","35.43","64.57","https://www.creativeeducationtrust.org.uk/page/?title=Statutory+information&pid=1015","","1000 to 4999","CREATIVE EDUCATION TRUST","False","2023/03/31 00:00:00","2023/01/30 12:05:54"
"CREATIVE SUPPORT LIMITED","3701","Creative Support Head Office, Wellington House, 131 Wellington Road South, Stockport, United Kingdom, SK1 3TS","SK1 3TS","IP27440R","","-0.6","0","","","0","0","36","64","14","86","20","80","24","76","https://www.creativesupport.co.uk/gender-pay-gap-2022/","Julie Cooke (Service Director)","1000 to 4999","CREATIVE SUPPORT LIMITED","False","2023/04/05 00:00:00","2022/04/07 13:15:32"
"Credit Agricole CIB","3704","1ST FLOOR, BROADWALK HOUSE, 5 APPOLD STREET, LONDON, LONDON, United Kingdom, EC2A 2DA","EC2A 2DA","FC026076","64191","25.9","29.0","49.2","50.0","93.1","93.8","57.2","42.8","63.4","36.6","74.9","25.1","81.9","18.1","","Hubert Reynier (Senior Country Officer)","500 to 999","Credit Agricole CIB","False","2023/04/05 00:00:00","2022/11/11 13:00:03"
"CROFTWOOD CARE UK LIMITED","18486","238 Station Road, Addlestone, Surrey, United Kingdom, KT15 2PS","KT15 2PS","10721289","87300","5","0.5","","","0","0","1","99","24.2","75.8","5.8","94.2","13.2","86.8","","Kiran Patel (Payroll manager)","1000 to 4999","CROFTWOOD CARE UK LIMITED","False","2023/04/05 00:00:00","2022/04/12 10:52:26"
"CROFTY MULTI ACADEMY TRUST","14515","No 2 The Seatons Tolvaddon Energy Park, Tolvaddon, Camborne, England, TR14 0HX","TR14 0HX","10354924","85100,
85200","86","16","","","0","0","26","74","4","96","4","96","15","85","","","250 to 499","CROFTY MULTI ACADEMY TRUST","False","2023/03/31 00:00:00","2023/01/11 16:09:32"
"CROSSROADS TRUCK & BUS LIMITED","3750","Crossroads Truck & Bus, Pheasant Drive, Birstall, Batley, West Yorkshire, WF17 9LR","WF17 9LR","00573068","45190,
45200,
45320","19.1","28.1","9.5","6.6","16.3","35.8","54.6","45.4","84.4","15.6","97.4","2.6","93.5","6.5","https://www.dealer.volvotrucks.co.uk/crossroads/en-gb/tools/pay.html","dave crowley (Group Deputy MD)","250 to 499","CROSSROADS TRUCK & BUS LIMITED","False","2023/04/05 00:00:00","2022/07/29 15:02:08"
"D.C.K. CONCESSIONS LIMITED","3859","13 Radford Crescent, Billericay, England, CM12 0DG","CM12 0DG","02715822","47770","51.0","46.0","","","0","0","3.2","96.8","0","100","2.8","97.2","17.1","82.9","https://www.dck.com/","Lorraine Bottomley (CEO)","500 to 999","D.C.K. CONCESSIONS LIMITED","False","2023/04/05 00:00:00","2022/10/27 11:17:18"
"Dacorum Borough Council","3867","The Forum, Marlowes, Hemel Hempstead, HP1 1DN","HP1 1DN","","1,
84110","68","32","","","0","0","68","32","40","60","20","80","25","75","","","500 to 999","Dacorum Borough Council","False","2023/03/31 00:00:00","2022/04/14 14:43:50"
"DANIEL THWAITES PUBLIC LIMITED COMPANY","421","Myerscough Road, Mellor Brook, Blackburn, Lancashire, England, BB2 7LB","BB2 7LB","00051702","11050,
55100,
56101,
56302","14.7","5","88.9","68","36.4","70.3","36.1","63.9","27.9","72.1","43.9","56.1","58.7","41.3","","Jason Royal (Director of People and Development)","1000 to 4999","DANIEL THWAITES PUBLIC LIMITED COMPANY","False","2023/04/05 00:00:00","2022/12/30 11:43:53"
"DARKTRACE HOLDINGS LIMITED","19011","Maurice Wilkes Building St John's Innovation Park, Cowley Road, Cambridge, United Kingdom, CB4 0DS","CB4 0DS","08562035","62012","-1.1","11.6","-42.5","17.2","63.6","65.7","56.8","43.2","67.9","32.1","74.2","25.8","67.9","32.1","https://darktrace.com/legal/2022-gender-pay-gap-report","Poppy Gustafsson (CEO)","500 to 999","DARKTRACE HOLDINGS LIMITED","False","2023/04/05 00:00:00","2022/12/29 14:59:29"
"DATA TECH HOLDINGS LIMITED","20871","Unit 4, Gateway Business Centre, Tom Cribb Road, London, United Kingdom, SE28 0EZ","SE28 0EZ","11728816","64209","10.3","9.8","71.2","0.0","16.4","38.1","84.4","15.6","85.6","14.4","90","10","93.3","6.7","","TIMOTHY COPPIN (DIRECTOR)","250 to 499","DATA TECH HOLDINGS LIMITED","False","2023/04/05 00:00:00","2022/10/19 14:48:28"
"DAU DRAEXLMAIER AUTOMOTIVE UK LIMITED","3919","Danny Morson Way, Birch Coppice Business Park,, Dordon, Tamworth, Staffordshire, B78 1SE","B78 1SE","03485431","29320","-25.30","-16.40","6.60","0","98.70","98.80","88.80","11.20","84.80","15.20","80.00","20.00","73.40","26.60","https://uk.draexlmaier.com/legal-notices","Helen Hewson-Scott (Head of HR)","250 to 499","DAU DRAEXLMAIER AUTOMOTIVE UK LIMITED","False","2023/04/05 00:00:00","2023/01/25 10:45:33"
"DAVIOT CARE LIMITED","3934","Caulfield House, Cradlehall Business Park, Inverness, IV2 5GH","IV2 5GH","SC366490","86900","1.6","0.94","","","0","0","15.6","84.4","14.6","85.4","17.6","82.4","18.3","81.7","https://www.meallmore.co.uk","Susan Land (Payroll Team Leader)","500 to 999","DAVIOT CARE LIMITED","False","2023/04/05 00:00:00","2023/01/27 14:31:53"
"Deal Education Alliance for Learning Trust","21293","DEALT Central Services Team, Northbourne Church Of England Primary School, Coldharbour Lane, Northbourne, CT14 0LP","CT14 0LP","","","-5.1509","4.1431","","","0","0","12.9","87.1","18.6","81.4","17.1","82.9","12.7","87.3","","","250 to 499","Deal Education Alliance for Learning Trust","False","2023/03/31 00:00:00","2023/01/30 11:46:19"
"DEBRA","3979","The Capitol Building, Oldbury, Bracknell, England, RG12 8FZ","RG12 8FZ","04118259","86900","16.65","0","","","0","0","21","79","27","73","36","64","27","73","https://www.debra.org.uk/gender-pay-gap","Annie Colehan (People Business Partner)","250 to 499","DEBRA","False","2023/04/05 00:00:00","2022/12/12 12:52:53"
"DECIDEBLOOM LIMITED","119","Stoneacre Omega Boulevard, Thorne, Doncaster, South Yorkshire, England, DN8 5TX","DN8 5TX","03003995","45111,
45112,
45200,
45320","35","17","71","54","87","66","67","33","65","35","83","17","89","11","https://www.stoneacre.co.uk/gender-pay-gap","Nigel Wood (Finance Director)","1000 to 4999","DECIDEBLOOM LIMITED","False","2023/04/05 00:00:00","2022/12/12 14:12:06"
"DELOITTE LLP","399","1 New Street Square, London, United Kingdom, EC4A 3HQ","EC4A 3HQ","OC303675","","15.9","13.0","42.7","33.3","75.6","76.6","51.5","48.5","47.7","52.3","54.4","45.6","62.0","38.0","https://www2.deloitte.com/uk/en/pages/about-deloitte-uk/articles/sharing-our-pay-gap.html","Clare Rowe (Inclusion Lead)","5000 to 19,999","DELOITTE LLP","False","2023/04/05 00:00:00","2022/10/03 10:50:31"
"DELOITTE MCS LIMITED","400","1 New Street Square, London, United Kingdom, EC4A 3HQ","EC4A 3HQ","03311052","69201,
70229,
82990","17.3","14.8","41.1","23.1","70.3","65.9","50.5","49.5","57.8","42.2","62.2","37.8","71.6","28.4","https://www2.deloitte.com/uk/en/pages/about-deloitte-uk/articles/sharing-our-pay-gap.html","Clare Rowe (Inclusion Lead)","5000 to 19,999","DELOITTE MCS LIMITED","False","2023/04/05 00:00:00","2022/10/03 10:57:00"
"Department for Business, Energy & Industrial Strategy","4028","1 Victoria Street, London, London, United Kingdom, SW1H 0ET","SW1H 0ET","","1,
84110","8.1","5.7","16.5","17","82","80","40","60","51","49","57","43","57","43","https://www.gov.uk/government/collections/beis-gender-pay-gap-information","","5000 to 19,999","Department for Business, Energy & Industrial Strategy","False","2023/03/31 00:00:00","2022/12/12 09:36:54"
"Department for Digital, Culture, Media and Sport","4030","100 Parliament Street, London, London, SW1A 2BQ","SW1A 2BQ","","1,
84110","3.3","9.8","-0.2","-8.3","81.1","79.5","59.9","40.1","53.9","46.1","51.8","48.2","51.6","48.4","https://www.gov.uk/government/publications/dcms-gender-pay-gap-report-2022","","1000 to 4999","Department for Digital, Culture, Media and Sport","False","2023/03/31 00:00:00","2022/11/28 16:17:59"
"Department for Education","234","Great Smith Street, London, London, United Kingdom, SW1P 3BT","SW1P 3BT","","1,
84110","3.9","4.9","1.1","-1.5","89.5","89.6","37.1","62.9","40.0","60.0","40.7","59.3","45.3","54.7","https://www.gov.uk/government/publications/department-for-education-gender-pay-gap-2022","","5000 to 19,999","Department for Education","False","2023/03/31 00:00:00","2022/11/24 16:47:15"
"Department for International Trade","4033","3 Whitehall Pl, Westminster, London, London, United Kingdom, SW1A 2AH","SW1A 2AH","","1,
84110","5.5","9.7","7.6","4.0","68","70","45","55","55","45","51","49","58","42","https://www.gov.uk/government/publications/dit-gender-pay-gap-report-and-data-2021-to-2022/dit-gender-pay-gap-report-2021-to-2022","","1000 to 4999","Department for International Trade","False","2023/03/31 00:00:00","2022/11/28 15:27:38"
"Department for Levelling Up, Housing and Communities","14369","Fry Building, 2 Marsham St, London, SW1P 4DF","SW1P 4DF","","1,
84110","4.0","6.1","-11.5","0.0","55.6","52.2","44.5","55.5","48.2","51.8","49.8","50.2","54.0","46.0","https://www.gov.uk/government/publications/dluhc-gender-pay-gap-report-and-data-2022","","1000 to 4999","Department for Levelling Up, Housing and Communities","False","2023/03/31 00:00:00","2022/11/24 14:00:09"
"Department For Transport","4034","Great Minster House, 76 Marsham Street, London, London, United Kingdom, SW1P 4DR","SW1P 4DR","","1,
84110","10.7","12.9","7.1","8.5","80.9","84.5","34.5","65.5","61.5","38.5","60.4","39.6","61.7","38.3","https://www.gov.uk/government/publications/dft-gender-pay-gap-report-and-data-2022/dft-gender-pay-gap-report-and-data-2022","","5000 to 19,999","Department For Transport","False","2023/03/31 00:00:00","2022/11/25 12:39:21"
"Department for Work And Pensions","4036","Caxton House, 6-12 Tothill Street, London, London, United Kingdom, SW1H 9NA","SW1H 9NA","","1,
84110","5.9","0.0","14.6","14.7","89.0","92.1","34.1","65.9","26.3","73.7","41.3","58.7","40.1","59.9","https://www.gov.uk/government/publications/dwp-gender-pay-gap-report-and-data-2022","","20,000 or more","Department for Work And Pensions","False","2023/03/31 00:00:00","2022/11/24 14:31:48"
"Department of Health and Social Care","4035","Richmond House, 79 Whitehall, London, London, United Kingdom, SW1A 2NS","SW1A 2NS","","1,
84110","9.5","8.5","13.4","0.0","25.5","23.7","30.4","69.6","31.9","68.1","37.2","62.8","42.4","57.6","https://www.gov.uk/government/publications/dhsc-gender-pay-gap-report-and-data-2022","","1000 to 4999","Department of Health and Social Care","False","2023/03/31 00:00:00","2022/11/24 14:29:06"
"Department, for Environment, Food and Rural Affairs","14454","Nobel House, 17 Smith aquare, London, SW1P 3JR","SW1P 3JR","","1,
84110","5.6","6.6","7.6","1.4","70.8","70.3","38.6","61.4","41.9","58.1","44.7","55.3","49.2","50.8","https://www.gov.uk/government/publications/defra-gender-pay-gap-report-and-data-2022","","5000 to 19,999","Department, for Environment, Food and Rural Affairs","False","2023/03/31 00:00:00","2022/11/24 15:03:52"
"Derbyshire County Council","107","County Hall, Smedley Street, Matlock, Derbyshire, United Kingdom, DE4 3AG","DE4 3AG","","1,
84110","11.7","16.9","","","0","0","10","90","19","81","31","69","30","70","https://www.derbyshire.gov.uk/working-for-us/equal-opportunities/gender-pay-gap/gender-pay-gap.aspx#:~:text=Our%20(mean)%20pay%20gap%20stands,11.6%25%20lower%20than%20male%20employees.","","5000 to 19,999","Derbyshire County Council","False","2023/03/31 00:00:00","2023/01/30 08:54:52"
"DERWEN COLLEGE","281","Derwen College Whittington Road, Gobowen, Oswestry, Shropshire, SY11 3JA","SY11 3JA","08615826","85590","9","5","","","0.0","0.0","17","83","17","83","15","85","30","70","","","250 to 499","DERWEN COLLEGE","False","2023/03/31 00:00:00","2023/01/24 09:39:44"
"Devon & Somerset Fire & Rescue Service","4066","Devon & Somerset Fire & Rescue Service, Clyst St George, Exeter, Devon, EX3 0NW","EX3 0NW","","1,
84250","6.3","5.4","","","0","0","70","30","94","6","87","13","87","13","https://www.dsfire.gov.uk/sites/default/files/2022-10/gender_pay_gap_report_2022.pdf","","1000 to 4999","Devon & Somerset Fire & Rescue Service","False","2023/03/31 00:00:00","2022/10/24 13:02:51"
"Devon Partnership Nhs Trust","4073","Dryden Road, Exeter, Devon, United Kingdom, EX2 5AF","EX2 5AF","","1,
86210","13.8","6","32.5","50","2.5","0.2","22.9","77.1","24.1","75.9","20.8","79.2","34.7","65.3","https://www.dpt.nhs.uk/resources/corporate-information/equality-diversity-and-inclusion/gender-pay-gap-reports","","1000 to 4999","Devon Partnership Nhs Trust","False","2023/03/31 00:00:00","2022/09/27 09:28:01"
"DHAMECHA FOODS LIMITED","4091","2 Hathaway Close, Stanmore, Middlesex, HA7 3NR","HA7 3NR","01163739","46342,
46390","1.7","0","2.4","31.8","4.5","2.3","76.3","23.7","83","17","73.2","26.8","76.2","23.8","https://www.dhamecha.com/","Fayaaz Shariff (Finance Director)","500 to 999","DHAMECHA FOODS LIMITED","False","2023/04/05 00:00:00","2022/09/02 16:21:33"
"DHP FAMILY LTD.","4101","2 Lace Market Square, Nottingham, NG1 1PB","NG1 1PB","00259388","56302","6.7","4.6","60.2","14.3","20.4","12.3","50","50","38.8","61.2","52","48","69.4","30.6","","Dave McDerment (Director of Finance and Central)","250 to 499","DHP FAMILY LTD.","False","2023/04/05 00:00:00","2022/07/06 10:47:14"
"DIAGEO GREAT BRITAIN LIMITED","4105","16 Great Marlborough Street, London, United Kingdom, W1F 7HS","W1F 7HS","00507652","11010,
11070,
46342,
70100","4.8","-16.3","24.5","-9.0","69.4","78.9","65.3","34.7","47.9","52.1","42.9","57.1","51.8","48.2","https://media.diageocms.com/diageo-corporate-media/media/sw4co4ec/uk-gender-pay-gap-report-2022.pdf","Louise Prashad (Chief HR Officer)","1000 to 4999","DIAGEO GREAT BRITAIN LIMITED","False","2023/04/05 00:00:00","2022/12/15 10:40:41"
"DIAGEO SCOTLAND LIMITED","103","11 Lochside Place, Edinburgh, Scotland, EH12 9HA","EH12 9HA","SC000750","11010","7.6","10.6","-21.2","-7.6","54.2","63.6","55.8","44.2","63.5","36.5","73.2","26.8","72.9","27.1","https://media.diageocms.com/diageo-corporate-media/media/sw4co4ec/uk-gender-pay-gap-report-2022.pdf","Louise Prashad (Chief HR Officer)","1000 to 4999","DIAGEO SCOTLAND LIMITED","False","2023/04/05 00:00:00","2022/12/15 10:38:04"
"DIVERSE ACADEMIES TRUST","4150","Diverse Education Centre, Old Hall Drive, Retford, England, DN22 7EA","DN22 7EA","07664012","85200,
85310","19","19","","","0","0","11","89","17","83","26","74","32","68","https://www.diverseacademies.org.uk/wp-content/uploads/sites/25/2023/01/Gender-pay-gap-report-2023.pdf","","1000 to 4999","DIVERSE ACADEMIES TRUST","False","2023/03/31 00:00:00","2023/01/27 16:37:56"
"DOLBY MEDICAL HOME RESPIRATORY CARE LIMITED","20278","North Suite Lomond Court, Castle Business Park, Stirling, Scotland, FK9 4TU","FK9 4TU","SC063902","86900","1.40","1.42","-6","-100","9","9","43","57","64","36","84","16","68","32","","Jane Normann (HR Director)","250 to 499","DOLBY MEDICAL HOME RESPIRATORY CARE LIMITED","False","2023/04/05 00:00:00","2023/01/03 12:05:56"
"Dorset Council","19687","Dorset Council, County Hall, Colliton Park, Dorchester, Dorset, United Kingdom, DT1 1XJ","DT1 1XJ","","1","0.1","-2.0","-92.3","-100.8","0.2","0.1","39.7","60.3","36.0","64.0","32.2","67.8","37.5","62.5","https://www.dorsetcouncil.gov.uk/w/gender-pay-gap-reporting?p_l_back_url=%2Fsearch%3Fq%3Dgender%2Bpay%2Bgap","","1000 to 4999","Dorset Council","False","2023/03/31 00:00:00","2022/10/26 12:18:49"
"DOWNING COLLEGE CAMBRIDGE","16830","Downing College, Cambridge, CB2 1DQ","CB2 1DQ","RC000156","","11.29","12.34","","","0","0","28.6","71.4","35.5","64.5","64.5","35.5","44.4","55.6","","Gavin Flynn (Senior Bursar)","250 to 499","DOWNING COLLEGE CAMBRIDGE","False","2023/04/05 00:00:00","2023/01/17 12:36:51"
"DRAEGER SAFETY UK LTD","4242","Draeger Safety Uk Limited, Ullswater Close, Blyth Riverside Business Park,, Blyth, Northumberland, NE24 4RG","NE24 4RG","00777464","28990,
46690,
74909","16.9","22.4","53.1","28.5","96.6","94.3","67","33","60","40","79","21","85","15","https://www.draeger.com/Library/Content/Gender-Pay-Gap-Report-May-2022.pdf","Tracy Robinson (HR Business Partner)","500 to 999","DRAEGER SAFETY UK LTD","False","2023/04/05 00:00:00","2022/05/31 09:35:00"
"DRAGON SCHOOL TRUST LIMITED","16823","Bardwell Road, Oxford, OX2 6SS","OX2 6SS","00524331","85100,
85200,
85310","13.3","22.3","","","0","0","19.7","80.3","30.3","69.7","22.7","77.3","43.9","56.1","https://dragonschool.app.box.com/file/627028841788?s=gvnnw1bj228xa5dcszswenca18i715mb","Emma Dougall (Head of HR)","250 to 499","DRAGON SCHOOL TRUST LIMITED","False","2023/04/05 00:00:00","2022/04/05 09:17:57"
"DUDLEY ACADEMIES TRUST","18893","C/O Dudley College Of Technology, The Broadway, Dudley, West Midlands, United Kingdom, DY1 4AS","DY1 4AS","10897797","85600","4.19","8.18","","","0","0","10","90","19","81","41","59","22","78","","","500 to 999","DUDLEY ACADEMIES TRUST","False","2023/03/31 00:00:00","2023/01/10 13:09:35"
"Dudley Integrated Health and Care NHS Trust","21523","Brierley Hill Health and Social Care Centre, Venture Way, Brierley Hill, West Midlands, United Kingdom, DY5 1RU","DY5 1RU","","","35.0","17.2","","","0","0","5.9","94.1","15.1","84.9","13.1","86.9","38.6","61.4","https://www.dihc.nhs.uk/","","250 to 499","Dudley Integrated Health and Care NHS Trust","False","2023/03/31 00:00:00","2022/08/09 12:31:07"
